,DateTime,co2(ppm),humidity(%RH),barometric_pressure(hPa),Temperature [°C],hour,day,month,year
315,2023-07-01 17:31:38.956,474,46.0,1002.3,32.1,17,1,7,2023
316,2023-07-01 17:41:38.915,440,48.0,1002.4,31.4,17,1,7,2023
317,2023-07-01 17:51:38.885,447,47.0,1002.4,30.9,17,1,7,2023
318,2023-07-01 18:01:38.865,459,49.5,1002.5,29.7,18,1,7,2023
319,2023-07-01 18:11:38.824,476,56.5,1002.6,27.9,18,1,7,2023
320,2023-07-01 18:21:38.763,462,58.0,1002.7,26.8,18,1,7,2023
321,2023-07-01 18:31:38.779,476,62.0,1002.9,26.0,18,1,7,2023
322,2023-07-01 18:41:38.733,521,66.5,1003.0,25.1,18,1,7,2023
323,2023-07-01 18:51:38.695,528,66.5,1003.0,24.5,18,1,7,2023
324,2023-07-01 19:01:38.690,678,75.5,1003.1,23.6,19,1,7,2023
325,2023-07-01 19:11:38.656,758,79.0,1003.2,22.9,19,1,7,2023
326,2023-07-01 19:21:38.621,735,82.0,1003.4,22.2,19,1,7,2023
327,2023-07-01 19:31:38.566,683,83.0,1003.6,21.8,19,1,7,2023
328,2023-07-01 19:41:38.563,647,84.0,1003.8,21.4,19,1,7,2023
329,2023-07-01 19:51:38.521,676,84.0,1004.0,21.0,19,1,7,2023
330,2023-07-01 20:01:38.510,676,85.5,1004.2,20.6,20,1,7,2023
331,2023-07-01 20:11:38.467,684,86.5,1004.4,20.4,20,1,7,2023
332,2023-07-01 20:21:38.450,638,86.0,1004.5,20.2,20,1,7,2023
333,2023-07-01 20:31:38.436,761,89.0,1004.7,20.0,20,1,7,2023
334,2023-07-01 20:41:38.395,727,90.0,1004.8,20.1,20,1,7,2023
